"Name","ParticleCount","MinLife","MaxLife","ParticleMinInterval","ParticleMaxInterval","ParticleMinLife","ParticleMaxLife","ParticleMinAngle","ParticleMaxAngle","ParticleAngleRelativeToParent","ParticleRandomAngle","ParticleMinRadius","ParticleMaxRadius","ParticleMinSpeed","ParticleMaxSpeed","ParticleStartXYAreaRadius","ParticleStartX","ParticleStartZ","ParticleMinVelocityZ","ParticleMaxVelocityZ","ParticleGravity","ParticleMinTailLength","ParticleMaxTailLength","ParticleResource","ParticleExportName","RotateToDirection","LoopParticleClip","StartScale","EndScale","FadeInDuration","FadeOutDuration","Inertia","EnemyVersion","NoBounce","StopOnBounce","RandomScale","NoLowEndOptimization","SortingOffset","Shadow","AngularSpeed","ShadowMulR","ShadowMulG","ShadowMulB","ShadowMulA","ShadowYShift","InverseSpeed","ParticleMinSpawnAngle","ParticleMaxSpawnAngle","TrailMaxPoints","TrailDuration","TrailSWF","TrailExportName","SpecialEffect","FrameFromAngle","RotateMinSpeed","RotateMaxSpeed","IgnoreShadowFlip","ResourceFromAngle","Modifiers","ParticleRadiusAspect","ParticleSpecificEmitter","ParticleSpecificFollow","PlayParticleClipOnce"
"jungle_arena_firefly_01",1,,,10000,20000,5000,5000,,,,,,,,,,,,,,,,,"sc/level_jungle_arena.sc","jungle_vfx_firefly_01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jungle_arena_firefly_02",1,,,10000,20000,5000,5000,,,,,,,,,,,,,,,,,"sc/level_jungle_arena.sc","jungle_vfx_firefly_02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jungle_arena_firefly_03",1,,,10000,20000,5000,5000,,,,,,,,,,,,,,,,,"sc/level_jungle_arena.sc","jungle_vfx_firefly_03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"battle_ram_log_planks",3,130,130,2,5,1500,2000,,180,,"true",,1,10,50,76,,55,400,700,-1200,,,"sc/effects.sc","crate_particle_1","true",,80,40,,,20,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"battle_ram_log_planks2",18,130,130,2,5,500,1200,90,270,,"true",1,2,10,100,,,45,100,300,-500,,,"sc/effects.sc","crate_particle_1","true",,25,50,,,20,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"battle_ram_log_drop",1,1,1,,1,800,800,,,,"true",1,1,50,75,,,110,350,350,-2300,,,"sc/chr_battle_ram.sc","battle_ram_log","true",,110,110,,400,,,,,,,,"true",,100,100,100,167,,"true",,,,,,,,"true",-760,760,"true",,,,,,
"battle_ram_planks_inverse",8,1,1,,1,1000,1000,,,"true","true",1,5,75,100,162,,110,350,350,-1500,,,"sc/effects.sc","crate_particle_1","true",,1,2,,400,,,,,,,,"true",,100,100,100,167,,"true",,,,,,,,,-760,760,"true",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"blowdart_goblin_attack_puff",17,2,2,,,500,700,,-360,,,,,80,110,,,,5,15,,,,"sc/effects.sc","SteamSmall",,,25,60,,,400,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
"axe_man_projectile_hit_puff",7,2,2,,,300,700,-360,360,,"true",,,10,25,,,,,,-1000,,,"sc/effects.sc","SteamSmall","true","true",100,125,,250,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"axe_man_projectile_hit_sparks",10,100,100,,10,100,100,1,360,"true","true",,2,300,350,,,,60,100,,500,500,"sc/effects.sc","Sparkle","true",,110,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poison_arrow_hit_puff",7,1,1,,,350,600,-360,360,,,,,80,100,,,21,10,25,,,,"sc/effects.sc","poisoncloud_small",,,80,100,,,600,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
"axeman_axe_particle",1,1,1,,1,8000,12000,,360,"true",,,,,,,,,100,150,-3000,,,"sc/effects.sc","axeman_axe_effect","true",,95,95,,500,,,,"true",,,,,,,,,67,,,,,,,,,,"true",,,,,,,,,
"Axe_man_projectile_emitter",10,10,10,5,5,250,300,-360,360,,,,,,,,,,,,,,,"sc/effects.sc","axe_speed_lines2","true",,70,90,50,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blowdart_arrow_emitter",15,,,25,25,300,600,-360,360,,"true",,,10,15,,,,5,10,,,,"sc/effects.sc","d4","true",,25,60,100,800,,,,,,,,,,,,,,,,,,,,,,,,-360,360,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2_white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2_white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3_white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"blowdart_hit_sparks",10,100,100,,10,100,100,1,360,"true","true",,2,300,350,,,,60,100,,500,500,"sc/effects.sc","Sparkle","true",,110,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"battle_ram_log_drop_die",1,1,1,,1,400,400,,,,"true",1,1,,,,,110,100,150,-1500,,,"sc/chr_battle_ram.sc","battle_ram_log","true",,110,100,,200,,,,,,,,"true",,100,100,100,167,,,,,,,,,,"true",-360,360,"true",,,,,,
"Battle_ram_hit_debris",5,350,350,,10,600,2000,,360,"true","true",2,4,50,100,,,,300,600,-2000,,,"sc/effects.sc","towerExplode_wall2","true",,60,60,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","towerExplode_wall1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Battle_ram_die_smoke",38,1,1,,,800,1300,-360,360,,"true",1,2,70,120,,,,70,,,,,"sc/effects.sc","SteamSmall","true",,90,150,,1650,200,,,,,,,,,,,,,,,,,,,,,,,-360,360,,,,,,,
"assassin_buff",4,190,190,1,3,1000,1500,,360,,"true",3,4,50,100,,,14,10,80,,,,"sc/effects.sc","Smoke_puff_01","true",,20,40,500,500,250,,,,,,,"true",,,,,,,"true",,,,,,,,,,,"true",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Smoke_puff_02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Smoke_puff_03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"assassin_dashing",8,1000,1000,25,25,300,400,,360,,"true",,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_dash1_1",,,100,100,,500,,"assassin_dashing_red",,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_dash1_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_dash1_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_dash1_4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_dash1_5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_dash1_6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_dash1_7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_dash1_8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_dash1_9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"heal_ground",1,4000,4000,4000,4000,4000,4000,,,,,,,,,,,,,,,,,"sc/effects.sc","heal_effect_ground",,,125,125,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"heal_ground_ring",1,,,,,4000,4000,,,,,,,,,,,,,,,,,"sc/effects.sc","spell_heal_radius_blue",,,100,100,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"heal_ground_ring_enemy",1,,,,,4000,4000,,,,,,,,,,,,,,,,,"sc/effects.sc","spell_heal_radius_red",,,100,100,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"league_skull_fire_eye_emmitter",10,600,1400,30,35,200,300,,360,,"true",,,,20,,,,,25,400,,,"sc/effects.sc","skull_fire_particle1","true","true",65,30,,300,5,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","skull_fire_particle2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"league_skull_eye_spark_emitter",2,800,2000,5,30,800,1000,,360,"true","true",,2,,40,,,,,,150,,,"sc/effects.sc","inferno_spark","true",,80,30,,500,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"league_bg_amber_emitter",14,1500,4000,25,60,1500,4000,-70,-100,,,,20,20,100,,,,10,5,150,,,"sc/effects.sc","sparkle_trail_1","true","true",150,60,,300,30,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","sparkle_trail_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","sparkle_trail_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"league_bg_amber_02",27,1,6000,5,100,1000,6000,-90,-90,,,,80,40,70,,,,5,5,100,,,"sc/effects.sc","SparkleBlueOffset2",,"true",80,20,,,30,,,,50,,,,,,,,,,,,,,,,,,,100,200,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"league_bg_amber_03",7,1,1500,1,800,1500,5000,-35,-155,,,,50,30,150,,,,1,2,,,,"sc/effects.sc","particle_amber_bokeh",,"true",30,60,500,2000,5,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
"minion_pulse",16,500,500,,,600,1000,,360,,"true",1,1,20,40,,,48,,,,,,"sc/effects.sc","d3",,"true",50,120,,600,,,,,,,,"true",,,13,100,202,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d1_white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3_green_dark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"heal_particle_lines",22,2500,3000,50,50,800,1500,,360,,,-14,16,,,,,,,,,,,"sc/effects.sc","heal_effect_glow_line",,"true",40,50,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"heal_border_burst",70,2500,3000,1,10,1000,1000,,360,,"true",16,13,,,,,,,,,,,"sc/effects.sc","heal_effect_glow_border",,,80,90,1200,1000,,,,,10,,,,,,,,,,,,,200,469,"sc/effects.sc","reflection_blob",,,,,,,,,,,
"heal_border_burst2",70,2500,3500,5,10,1000,1000,,360,,"true",16,12,10,25,,,,25,,25,,,"sc/effects.sc","get_legend_spark1",,,20,,1200,1000,25,,,,25,,,,,,,,,,,,,200,469,"sc/effects.sc","reflection_blob",,,,,,,,,,,
"heal_effect_border_smoke",62,2500,3000,5,5,1000,1000,,360,,"true",16,12,,,,,,,,25,,,"sc/effects.sc","heal_effect_ground",,,15,20,800,800,,,,,11,,,,,,,,,,,,,66,1159,"sc/effects.sc","reflection_blob",,,,,,,,,,,
"dark_witch_hit_burst",14,190,190,1,3,800,900,,360,,"true",1,1,60,120,,,20,100,150,-300,,20,"sc/effects.sc","Death_blue_sparkle1","true",,50,1,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dark_witch_hit_smoke",29,1,1,,,800,1000,,360,,,,1,100,130,,,3,10,10,25,,,"sc/effects.sc","Death_blue_smoke",,,20,30,,1500,350,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
"league_ultimate_sparkle_emitter",5,2000,4000,750,2500,800,1000,,360,,,1,12,50,60,,,,5,10,,,,"sc/ui_arena.sc","league_badge_9_sparkle_loop1",,,80,20,250,300,1500,,,,60,,,,,,,,,,,,,,,,,,,-25,25,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/ui_arena.sc","league_badge_9_sparkle_loop2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"league_ultimate_amber_emitter",3,2000,4000,600,300,1200,2500,,360,,,1,15,80,90,,,,10,20,,,,"sc/effects.sc","particle_amber_bokeh_ultimate",,,100,50,300,600,1500,,,,60,,,,,,,,,,,,,,,,,,,-25,25,,,,,,,
"league_ultimate_sparkle_emitter_2",11,2000,4000,750,2500,800,1000,,360,,,5,14,50,60,,,,5,10,,,,"sc/ui_arena.sc","league_badge_9_sparkle_loop1",,,40,10,250,300,1500,,,,60,,,,,,,,,,,,,,,,,,,-25,25,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/ui_arena.sc","league_badge_9_sparkle_loop2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2v2_tower_destroyed_ground",1,,,,,800000,800000,,,,,,,,,,,,,,,,,"sc/building_tower.sc","Tower_2v2_destroyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2v2_rocks_destroyrd",6,,,,,800000,800000,,,,"true",,,,,179,,,,,,,,"sc/effects.sc","Grassland_1x1_rock1",,,55,55,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Grassland_1x1_rock3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Grassland_2x2_rock2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2v2_dirt_destroyed",7,,,,,800000,800000,,,,"true",,,,,203,,,,,,,,"sc/effects.sc","Rock1Particle_b",,,100,100,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle_b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle_b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"league_bg_amber_04",32,1500,6000,25,20,500,6000,-70,-110,,,5,30,60,200,,,,25,50,50,,,"sc/effects.sc","rainbow_sparkle2",,"true",25,50,600,800,25,,,,35,,,,,,,,,,,,,,,,,,,360,360,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","rainbow_sparkle1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","rainbow_sparkle3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SteamSmall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"assassin_dashing_red",8,1000,1000,25,25,300,400,,360,,"true",,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_red_dash1_1",,,100,100,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_red_dash1_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_red_dash1_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_red_dash1_4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_red_dash1_5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_red_dash1_6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_red_dash1_7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_red_dash1_8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_bandit.sc","bandit_red_dash1_9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"league_bg_bokeh_02",22,1,6000,1,300,1500,6000,-35,-155,,,,50,40,60,,,,1,2,20,,,"sc/effects.sc","particle_amber_bokeh",,"true",30,60,500,2000,5,,,,50,,,,,,,,,,,,,,,,,,,360,360,,,,,,,
"league_bg_godrays_01",9,1,1500,1,600,1500,5000,,,,,,100,,,,,14,1,2,,,,"sc/effects.sc","sky_ray_loop_001",,"true",30,60,500,2000,5,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","sky_ray_loop_002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","sky_ray_loop_003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","sky_ray_loop_004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","sky_ray_loop_005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","sky_ray_loop_006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","sky_ray_loop_004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"league_bg_godrays_empty",9,1,1500,1,600,1500,5000,,,,,,100,,,,,14,1,2,,,,"sc/effects.sc","sky_ray_loop_006",,"true",30,60,500,2000,5,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","sky_ray_loop_005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arena_levelup_sparks",8,800,800,5,10,600,800,,360,,"true",-8,16,125,160,62,,,100,350,35,,,"sc/effects.sc","Golem_firefly_blue_particle1",,,35,15,,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Golem_firefly_blue_particle2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","rainbow_sparkle3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arena_levelup_flash",8,,,,,500,1250,,360,"true","true",,,160,,,,,,,,,,"sc/effects.sc","Smoke_puff_01",,,80,160,250,1000,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Smoke_puff_03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Smoke_puff_01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arena_levelup_burst",12,1,1,,1,900,1800,,360,"true",,,10,100,250,,,,,,100,,,"sc/effects.sc","inferno_spark",,"true",65,10,,300,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","rainbow_sparkle3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","rainbow_sparkle2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","rainbow_sparkle1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arena_levelup_hit_sparks",21,50,100,,10,350,500,1,360,"true","true",,10,450,600,,,,60,250,,600,1250,"sc/effects.sc","rainbow_sparkle1","true",,40,25,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bat_DW_spawn",16,100,200,,,400,700,,360,,"true",,1,20,40,,,21,,,,,,"sc/effects.sc","d3",,"true",30,80,,600,50,,,,,,,"true",,,13,100,202,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d1_white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3_green_dark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"water_fall_haze_emmiter",6,10000,10000,200,450,2000,2500,,360,,,,,,,,,24,30,50,,,,"sc/effects.sc","Smoke_puff_01","true",,40,160,300,3000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"waterfall_cloud",34,3500,4000,1,5,300,800,,,,"true",-5,5,,,24,,,25,30,50,,,"sc/effects.sc","d3",,,120,140,150,1000,,,,,,,,,,,,81,84,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"waterfall_bubbles",32,3500,4000,5,10,350,800,,,,,-4,4,,,,,,,,,,,"sc/effects.sc","reflection_blob_2",,,40,80,,1800,,,,,,,,,,,,81,84,,,,,,,,,,,,,,,,,,,
"confetti_legendary_arena",65,999999,9999999,250,250,12000,12000,,360,,"true",,25,10,20,,,417,-150,-100,,,,"sc/effects.sc","confetti_blue1",,"true",20,20,500,500,400,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_blue2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_blue3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_blue4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_blue5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_blue6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_blue7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_blue8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_blue9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_blue10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_blue11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_red1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_red2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_red3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_red4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_red5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_red6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_red7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_red8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","confetti_red9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
