"Name","Disabled","CustomKey","Group","Location","Condition","Dependency","PermittedInput","ServerCommand","FinishRequirement","SkipCondition","FileName","PopupCorner","PopupExportName","BubbleExportName","TID","ChronosCharacterOverride","Sound","ForceSpellTile","DisableOtherSpells","SpellTileX","SpellTileY","SpellTileSearch","DisableSpells","HideCombatUI","DisableTroopMovement","DisableSpawnPoints","DisableOpponentSpells","PauseCombat","DisableAbility","Taunt","Highlight","DisableBattleStartScreen","StageTargetQuery","ForceOpenUI","SkipIfActiveOnLogin","OnStart","ResetIfActiveOnLogin"
"DD_3_Hide_UI3",,"CARD_DELIVERY_DAGGER_DUCHESS_3",,"TrainingCamp",,"DD_3_Deploy_Skeletons1",,,"skip","timeFromLastStepMS() > 1500",,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"DD_3_Deploy_Knight2",,"CARD_DELIVERY_DAGGER_DUCHESS_3",,"TrainingCamp",,"DD_3_Hide_UI3","dragSpell:Knight",,"dragSpell:Knight",,,,,,,,,"TRUE","TRUE",25,45,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"DD_3_Delay2",,"CARD_DELIVERY_DAGGER_DUCHESS_3",,"TrainingCamp",,"DD_3_Deploy_Knight2",,,"skip","!hasEnemyTroop(MegaKnight)",,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,
"DD_3_KING_Speaks5",,"CARD_DELIVERY_DAGGER_DUCHESS_3",,"TrainingCamp","timeFromLastStepMS() > 500","DD_3_Delay2",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_CD_DAGGER_DUCHESS_3_KING_SPEAKS_5",,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,,,,,,
"DD_3_DD_Speaks6",,"CARD_DELIVERY_DAGGER_DUCHESS_3",,"TrainingCamp",,"DD_3_KING_Speaks5",,,,,"sc/ui_giveaway_tutorial_dagger_duchess.sc",4,"tutorial_giveaway_character_dagger_duchess_02","bubble_tutorial_anim","TID_CD_DAGGER_DUCHESS_3_DD_SPEAKS_6",,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,,,,,,
"DD_3_StopWave1",,"CARD_DELIVERY_DAGGER_DUCHESS_3",,"TrainingCamp","timeFromLastStepMS() > 1000","DD_3_DD_Speaks6",,"stopWave:Tutorial_Empty_Wave",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,
"DD_3_StartWave2",,"CARD_DELIVERY_DAGGER_DUCHESS_3",,"TrainingCamp","timeFromLastStepMS() > 3500","DD_3_StopWave1",,"startWave:CardDelivery_DaggerDuchess_3_loop",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,
"DD_3_HighlightReminder",,"CARD_DELIVERY_DAGGER_DUCHESS_3",,"TrainingCamp","timeFromLastStepMS() > 1000","DD_3_StartWave2",,,,,,,,,,,,,,,,,,,,,,,,,"area:enemy",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GS_1_Delay1",,"CARD_DELIVERY_GOBLINSTEIN_1",,,,,,,"skip","getTimeMS() > 11000",,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,
"GS_1_StartWave1",,"CARD_DELIVERY_GOBLINSTEIN_1",,,"timeFromLastStepMS() > 100","GS_1_Delay1",,"startWave:Tutorial_Empty_Wave",,,,,,,,,,,,,,,"TRUE",,,,,,,,,"true",,,,,
"GS_1_Deploy_GStein1",,"CARD_DELIVERY_GOBLINSTEIN_1",,,"timeFromLastStepMS() > 500","GS_1_StartWave1","dragSpell:Goblinstein",,"dragSpell:Goblinstein",,,,,,,,,"TRUE","TRUE",7,40,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"GS_1_Hide_UI1",,"CARD_DELIVERY_GOBLINSTEIN_1",,,,"GS_1_Deploy_GStein1",,,"skip","timeFromLastStepMS() > 2000",,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"GS_1_DOC_Speaks1",,"CARD_DELIVERY_GOBLINSTEIN_1",,,,"GS_1_Hide_UI1",,,,,"sc/ui_giveaway_tutorial_goblinstein.sc",4,"tutorial_giveaway_character_doctor_01","bubble_tutorial_anim","TID_CD_GOBLINSTEIN_1_DOC_SPEAKS_1",,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"GS_1_MON_Speaks2",,"CARD_DELIVERY_GOBLINSTEIN_1",,,,"GS_1_DOC_Speaks1",,,,,"sc/ui_giveaway_tutorial_goblinstein.sc",4,"tutorial_giveaway_character_monster_02","bubble_tutorial_anim","TID_CD_GOBLINSTEIN_1_MON_SPEAKS_2",,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,,,,,,
"GS_1_DOC_Speaks3",,"CARD_DELIVERY_GOBLINSTEIN_1",,,,"GS_1_MON_Speaks2",,,,,"sc/ui_giveaway_tutorial_goblinstein.sc",4,"tutorial_giveaway_character_doctor_02","bubble_tutorial_anim","TID_CD_GOBLINSTEIN_1_DOC_SPEAKS_3",,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,,,,,,
"GS_1_Hide_UI2",,"CARD_DELIVERY_GOBLINSTEIN_1",,,,"GS_1_DOC_Speaks3",,,"skip","timeFromLastStepMS() > 1000",,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"GS_1_EnemySpawn1",,"CARD_DELIVERY_GOBLINSTEIN_1",,,"timeFromLastStepMS() > 500","GS_1_Hide_UI2",,"enemySpawn:MinionHorde:10","skip","hasEnemyTroop(MinionHorde)",,,,,,,,,,7,20,,"TRUE","TRUE",,,,,"TRUE",,,,,,,,
"GS_1_DOC_Speaks4",,"CARD_DELIVERY_GOBLINSTEIN_1",,,"timeFromLastStepMS() > 500","GS_1_EnemySpawn1",,,,,"sc/ui_giveaway_tutorial_goblinstein.sc",4,"tutorial_giveaway_character_doctor_01","bubble_tutorial_anim","TID_CD_GOBLINSTEIN_1_DOC_SPEAKS_4",,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,,,,,,
"GS_1_Ability1",,"CARD_DELIVERY_GOBLINSTEIN_1",,,"timeFromLastStepMS() > 500","GS_1_DOC_Speaks4","championAbility",,"championAbility",,,,,,,,,,,,,,"TRUE",,"TRUE",,,"TRUE",,,,,"championAbility",,,,
"GS_1_Delay2",,"CARD_DELIVERY_GOBLINSTEIN_1",,,,"GS_1_Ability1",,,"skip","timeFromLastStepMS() > 3000",,,,,,,,,,,,,"TRUE",,,,,,"TRUE",,,,,,,,
"GS_1_MON_Speaks5",,"CARD_DELIVERY_GOBLINSTEIN_1",,,,"GS_1_Delay2",,,,,"sc/ui_giveaway_tutorial_goblinstein.sc",4,"tutorial_giveaway_character_monster_01","bubble_tutorial_anim","TID_CD_GOBLINSTEIN_1_MON_SPEAKS_5",,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,,,,,,
"GS_1_Deploy_SpearGoblins1",,"CARD_DELIVERY_GOBLINSTEIN_1",,,,"GS_1_MON_Speaks5","dragSpell:SpearGoblins",,"dragSpell:SpearGoblins",,,,,,,,,"TRUE","TRUE",7,30,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"GS_1_StopWave1",,"CARD_DELIVERY_GOBLINSTEIN_1",,,"timeFromLastStepMS() > 500","GS_1_Deploy_SpearGoblins1",,"stopWave:Tutorial_Empty_Wave",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,
"GS_1_StartWave2",,"CARD_DELIVERY_GOBLINSTEIN_1",,,"timeFromLastStepMS() > 25000","GS_1_StopWave1",,"startWave:CardDelivery_Goblinstein_1_loop",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,
"GS_1_HighlightReminder",,"CARD_DELIVERY_GOBLINSTEIN_1",,,"timeFromLastStepMS() > 1000","GS_1_StartWave2",,,,,,,,,,,,,,,,,,,,,,,,,"area:enemy",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GS_2_Delay1",,"CARD_DELIVERY_GOBLINSTEIN_2",,,,,,,"skip","getTimeMS() > 11000",,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,
"GS_2_StartWave1",,"CARD_DELIVERY_GOBLINSTEIN_2",,,"timeFromLastStepMS() > 100","GS_2_Delay1",,"startWave:Tutorial_Empty_Wave",,,,,,,,,,,,,,,"TRUE",,,,,,,,,"true",,,,,
"GS_2_Deploy_GStein1",,"CARD_DELIVERY_GOBLINSTEIN_2",,,"timeFromLastStepMS() > 500","GS_2_StartWave1","dragSpell:Goblinstein",,"dragSpell:Goblinstein",,,,,,,,,"TRUE","TRUE",7,42,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"GS_2_Hide_UI1",,"CARD_DELIVERY_GOBLINSTEIN_2",,,,"GS_2_Deploy_GStein1",,,"skip","timeFromLastStepMS() > 4000",,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"GS_2_RKING_Speaks1",,"CARD_DELIVERY_GOBLINSTEIN_2",,,,"GS_2_Hide_UI1",,,,,"sc/ui_giveaway_tutorial.sc",4,"tutorial_giveaway_character_redking","bubble_tutorial_anim","TID_CD_GOBLINSTEIN_2_RKING_SPEAKS_1",,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"GS_2_RKING_Speaks2",,"CARD_DELIVERY_GOBLINSTEIN_2",,,,"GS_2_RKING_Speaks1",,,,,"sc/ui_giveaway_tutorial.sc",4,"tutorial_giveaway_character_redking","bubble_tutorial_anim","TID_CD_GOBLINSTEIN_2_RKING_SPEAKS_2",,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"GS_2_EnemySpawn1",,"CARD_DELIVERY_GOBLINSTEIN_2",,,"timeFromLastStepMS() > 1000","GS_2_RKING_Speaks2",,"enemySpawn:Knight:10","skip","hasEnemyTroop(Knight)",,,,,,,,,,10,25,,"TRUE","TRUE",,,,,"TRUE",,,,,,,,
"GS_2_EnemySpawn2",,"CARD_DELIVERY_GOBLINSTEIN_2",,,"timeFromLastStepMS() > 500","GS_2_EnemySpawn1",,"enemySpawn:Archer:10","skip","hasEnemyTroop(Archer)",,,,,,,,,,3,15,,"TRUE","TRUE",,,,,"TRUE",,,,,,,,
"GS_2_Hide_UI2",,"CARD_DELIVERY_GOBLINSTEIN_2",,,,"GS_2_EnemySpawn2",,,"skip","timeFromLastStepMS() > 5000",,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"GS_2_MON_Speaks3",,"CARD_DELIVERY_GOBLINSTEIN_2",,,,"GS_2_Hide_UI2",,,,,"sc/ui_giveaway_tutorial_goblinstein.sc",4,"tutorial_giveaway_character_monster_03","bubble_tutorial_anim","TID_CD_GOBLINSTEIN_2_MON_SPEAKS_3",,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"GS_2_RKING_Speaks4",,"CARD_DELIVERY_GOBLINSTEIN_2",,,"timeFromLastStepMS() > 500","GS_2_MON_Speaks3",,,,,"sc/ui_giveaway_tutorial.sc",4,"tutorial_giveaway_character_redking","bubble_tutorial_anim","TID_CD_GOBLINSTEIN_2_RKING_SPEAKS_4",,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"GS_2_EnemySpawn3",,"CARD_DELIVERY_GOBLINSTEIN_2",,,"timeFromLastStepMS() > 500","GS_2_RKING_Speaks4",,"enemySpawn:Barbarians:10","skip","hasEnemyTroop(Barbarians)",,,,,,,,,,7,20,,"TRUE","TRUE",,,,,"TRUE",,,,,,,,
"GS_2_DOC_Speaks5",,"CARD_DELIVERY_GOBLINSTEIN_2",,,"timeFromLastStepMS() > 500","GS_2_EnemySpawn3",,,,,"sc/ui_giveaway_tutorial_goblinstein.sc",4,"tutorial_giveaway_character_doctor_01","bubble_tutorial_anim","TID_CD_GOBLINSTEIN_2_DOC_SPEAKS_5",,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,,,,,,
"GS_2_Ability1",,"CARD_DELIVERY_GOBLINSTEIN_2",,,"timeFromLastStepMS() > 500","GS_2_DOC_Speaks5","championAbility",,"championAbility",,,,,,,,,,,,,,"TRUE",,"TRUE",,,"TRUE",,,,,"championAbility",,,,
"GS_2_Delay2",,"CARD_DELIVERY_GOBLINSTEIN_2",,,,"GS_2_Ability1",,,"skip","timeFromLastStepMS() > 4500",,,,,,,,,,,,,"TRUE",,,,,,"TRUE",,,,,,,,
"GS_2_Deploy_MiniPekka1",,"CARD_DELIVERY_GOBLINSTEIN_2",,,"timeFromLastStepMS() > 500","GS_2_Delay2","dragSpell:MiniPekka",,"dragSpell:MiniPekka",,,,,,,,,"TRUE","TRUE",7,35,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"GS_2_StopWave1",,"CARD_DELIVERY_GOBLINSTEIN_2",,,"timeFromLastStepMS() > 1000","GS_2_Deploy_MiniPekka1",,"stopWave:Tutorial_Empty_Wave",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,
"GS_2_StartWave2",,"CARD_DELIVERY_GOBLINSTEIN_2",,,"timeFromLastStepMS() > 20000","GS_2_StopWave1",,"startWave:CardDelivery_Goblinstein_2_loop",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,
"GS_2_HighlightReminder",,"CARD_DELIVERY_GOBLINSTEIN_2",,,"timeFromLastStepMS() > 1000","GS_2_StartWave2",,,,,,,,,,,,,,,,,,,,,,,,,"area:enemy",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RGB_1_Delay1",,"CARD_DELIVERY_RUNEBERSERKER_1",,,,,,,"skip","getTimeMS() > 11000",,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,
"RGB_1_StartWave1",,"CARD_DELIVERY_RUNEBERSERKER_1",,,"timeFromLastStepMS() > 100","RGB_1_Delay1",,"startWave:Tutorial_Empty_Wave",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,
"RGB_1_EnemySpawn1",,"CARD_DELIVERY_RUNEBERSERKER_1",,,,"RGB_1_StartWave1",,"enemySpawn:RoyalGiant:10","skip","hasEnemyTroop(RoyalGiant)",,,,,,,,,,7,22,,"TRUE","TRUE",,,,,"TRUE",,,,,,,,
"RGB_1_Hide_UI1",,"CARD_DELIVERY_RUNEBERSERKER_1",,,,"RGB_1_EnemySpawn1",,,"skip","timeFromLastStepMS() > 1500",,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"RGB_1_Deploy_Card1",,"CARD_DELIVERY_RUNEBERSERKER_1",,,"timeFromLastStepMS() > 500","RGB_1_Hide_UI1","dragSpell:Berserker",,"dragSpell:Berserker",,,,,,,,,"TRUE","TRUE",3,48,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"RGB_1_Txt_1_GiantBuffer",,"CARD_DELIVERY_RUNEBERSERKER_1",,,"timeFromLastStepMS() > 500","RGB_1_Deploy_Card1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_CD_RGB_1_TXT_1_RUNEGIANT",4,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"RGB_1_Txt_2_Berserker",,"CARD_DELIVERY_RUNEBERSERKER_1",,,,"RGB_1_Txt_1_GiantBuffer",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_CD_RGB_1_TXT_2_BERSERKER",2,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"RGB_1_Txt_3_Berserker",,"CARD_DELIVERY_RUNEBERSERKER_1",,,,"RGB_1_Txt_2_Berserker",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_CD_RGB_1_TXT_3_BERSERKER",3,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"RGB_1_Hide_UI2",,"CARD_DELIVERY_RUNEBERSERKER_1",,,,"RGB_1_Txt_3_Berserker",,,"skip","timeFromLastStepMS() > 1000",,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"RGB_1_Deploy_Card2",,"CARD_DELIVERY_RUNEBERSERKER_1",,,"timeFromLastStepMS() > 500","RGB_1_Hide_UI2","dragSpell:GiantBuffer",,"dragSpell:GiantBuffer",,,,,,,,,"TRUE","TRUE",12,49,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"RGB_1_Txt_4_GiantBuffer",,"CARD_DELIVERY_RUNEBERSERKER_1",,,"timeFromLastStepMS() > 500","RGB_1_Deploy_Card2",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_CD_RGB_1_TXT_4_RUNEGIANT",5,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"RGB_1_Hide_UI3",,"CARD_DELIVERY_RUNEBERSERKER_1",,,,"RGB_1_Txt_4_GiantBuffer",,,"skip","timeFromLastStepMS() > 5500",,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"RGB_1_Txt_5_GiantBuffer",,"CARD_DELIVERY_RUNEBERSERKER_1",,,"timeFromLastStepMS() > 500","RGB_1_Hide_UI3",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_CD_RGB_1_TXT_5_RUNEGIANT",6,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"RGB_1_EnemySpawn2",,"CARD_DELIVERY_RUNEBERSERKER_1",,,"timeFromLastStepMS() > 500","RGB_1_Txt_5_GiantBuffer",,"enemySpawn:Minions:10","skip","hasEnemyTroop(Minions)",,,,,,,,,,13,16,,"TRUE","TRUE",,,,,"TRUE",,,,,,,,
"RGB_1_EnemySpawn3",,"CARD_DELIVERY_RUNEBERSERKER_1",,,"timeFromLastStepMS() > 100","RGB_1_EnemySpawn2",,"enemySpawn:Knight:10","skip","hasEnemyTroop(Knight)",,,,,,,,,,14,16,,"TRUE","TRUE",,,,,"TRUE",,,,,,,,
"RGB_1_Deploy_Card3",,"CARD_DELIVERY_RUNEBERSERKER_1",,,"timeFromLastStepMS() > 100","RGB_1_EnemySpawn3","dragSpell:BlowdartGoblin",,"dragSpell:BlowdartGoblin",,,,,,,,,"TRUE","TRUE",13,35,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"RGB_1_Hide_UI4",,"CARD_DELIVERY_RUNEBERSERKER_1",,,,"RGB_1_Deploy_Card3",,,"skip","timeFromLastStepMS() > 4000",,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"RGB_1_StopWave1",,"CARD_DELIVERY_RUNEBERSERKER_1",,,"timeFromLastStepMS() > 20000","RGB_1_Hide_UI4",,"stopWave:Tutorial_Empty_Wave",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,
"RGB_1_StartWave2",,"CARD_DELIVERY_RUNEBERSERKER_1",,,"timeFromLastStepMS() > 1000","RGB_1_StopWave1",,"startWave:CardDelivery_RuneBerserker_1_loop",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,
"RGB_1_HighlightReminder",,"CARD_DELIVERY_RUNEBERSERKER_1",,,"timeFromLastStepMS() > 1000","RGB_1_StartWave2",,,,,,,,,,,,,,,,,,,,,,,,,"area:enemy",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RGB_2_Delay1",,"CARD_DELIVERY_RUNEBERSERKER_2",,,,,,,"skip","getTimeMS() > 11000",,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,
"RGB_2_StartWave1",,"CARD_DELIVERY_RUNEBERSERKER_2",,,"timeFromLastStepMS() > 100","RGB_2_Delay1",,"startWave:Tutorial_Empty_Wave",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,
"RGB_2_EnemySpawn1",,"CARD_DELIVERY_RUNEBERSERKER_2",,,"timeFromLastStepMS() > 500","RGB_2_StartWave1",,"enemySpawn:Giant:8","skip","hasEnemyTroop(Giant)",,,,,,,,,,7,28,,"TRUE","TRUE",,,,,"TRUE",,,,,,,,
"RGB_2_Hide_UI1",,"CARD_DELIVERY_RUNEBERSERKER_2",,,,"RGB_2_EnemySpawn1",,,"skip","timeFromLastStepMS() > 2500",,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"RGB_2_Txt_1_Berserker",,"CARD_DELIVERY_RUNEBERSERKER_2",,,,"RGB_2_Hide_UI1",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_CD_RGB_2_TXT_1_BERSERKER",1,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"RGB_2_Deploy_Card1",,"CARD_DELIVERY_RUNEBERSERKER_2",,,"timeFromLastStepMS() > 500","RGB_2_Txt_1_Berserker","dragSpell:Berserker",,"dragSpell:Berserker",,,,,,,,,"TRUE","TRUE",5,38,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"RGB_2_Hide_UI2",,"CARD_DELIVERY_RUNEBERSERKER_2",,,,"RGB_2_Deploy_Card1",,,"skip","timeFromLastStepMS() > 2000",,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"RGB_2_Txt_2_Berserker",,"CARD_DELIVERY_RUNEBERSERKER_2",,,,"RGB_2_Hide_UI2",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_CD_RGB_2_TXT_2_BERSERKER",3,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"RGB_2_Hide_UI3",,"CARD_DELIVERY_RUNEBERSERKER_2",,,,"RGB_2_Txt_2_Berserker",,,"skip","timeFromLastStepMS() > 1000",,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"RGB_2_Txt_3_RuneGiant",,"CARD_DELIVERY_RUNEBERSERKER_2",,,,"RGB_2_Hide_UI3",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_CD_RGB_2_TXT_3_RUNEGIANT",6,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"RGB_2_Txt_4_Berserker",,"CARD_DELIVERY_RUNEBERSERKER_2",,,,"RGB_2_Txt_3_RuneGiant",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_CD_RGB_2_TXT_4_BERSERKER",2,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"RGB_2_Txt_5_RuneGiant",,"CARD_DELIVERY_RUNEBERSERKER_2",,,,"RGB_2_Txt_4_Berserker",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_CD_RGB_2_TXT_5_RUNEGIANT",6,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"RGB_2_Txt_6_Berserker",,"CARD_DELIVERY_RUNEBERSERKER_2",,,,"RGB_2_Txt_5_RuneGiant",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_CD_RGB_2_TXT_6_BERSERKER",3,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"RGB_2_Deploy_Card2",,"CARD_DELIVERY_RUNEBERSERKER_2",,,"timeFromLastStepMS() > 500","RGB_2_Txt_6_Berserker","dragSpell:BlowdartGoblin",,"dragSpell:BlowdartGoblin",,,,,,,,,"TRUE","TRUE",14,41,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"RGB_2_Deploy_Card3",,"CARD_DELIVERY_RUNEBERSERKER_2",,,"timeFromLastStepMS() > 100","RGB_2_Deploy_Card2","dragSpell:GiantBuffer",,"dragSpell:GiantBuffer",,,,,,,,,"TRUE","TRUE",7,35,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"RGB_2_Hide_UI4",,"CARD_DELIVERY_RUNEBERSERKER_2",,,,"RGB_2_Deploy_Card3",,,"skip","timeFromLastStepMS() > 3000",,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"RGB_2_StopWave1",,"CARD_DELIVERY_RUNEBERSERKER_2",,,"timeFromLastStepMS() > 100","RGB_2_Hide_UI4",,"stopWave:Tutorial_Empty_Wave",,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,
"RGB_2_Txt_7_RedKing",,"CARD_DELIVERY_RUNEBERSERKER_2",,,,"RGB_2_StopWave1",,,,,"sc/ui_giveaway_tutorial.sc",4,"tutorial_giveaway_character_redking","bubble_tutorial_anim","TID_CD_RGB_2_TXT_7_REDKING",,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"RGB_2_StartWave_Log",,"CARD_DELIVERY_RUNEBERSERKER_2",,,"timeFromLastStepMS() > 100","RGB_2_Txt_7_RedKing",,"startWave:CardDelivery_RuneBerserker_2_Log",,,,,,,,,,,,,,,"TRUE","TRUE",,,,,"TRUE",,,,,,,,
"RGB_2_StopWave_Log",,"CARD_DELIVERY_RUNEBERSERKER_2",,,"timeFromLastStepMS() > 2500","RGB_2_StartWave_Log",,"stopWave:CardDelivery_RuneBerserker_2_Log",,,,,,,,,,,,,,,"TRUE","TRUE",,,,,"TRUE",,,,,,,,
"RGB_2_StartWave2",,"CARD_DELIVERY_RUNEBERSERKER_2",,,"timeFromLastStepMS() > 100","RGB_2_StopWave_Log",,"startWave:Tutorial_Empty_Wave",,,,,,,,,,,,,,,"TRUE","TRUE",,,,,"TRUE",,,,,,,,
"RGB_2_Txt_6_RuneGiant",,"CARD_DELIVERY_RUNEBERSERKER_2",,,,"RGB_2_StartWave2",,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_CD_RGB_2_TXT_8_RUNEGIANT",5,,,,,,,"TRUE","TRUE","TRUE",,,"TRUE","TRUE",,,"true",,,,,
"RGB_2_Deploy_Card4",,"CARD_DELIVERY_RUNEBERSERKER_2",,,"timeFromLastStepMS() > 100","RGB_2_Txt_6_RuneGiant","dragSpell:RageBarbarian",,"dragSpell:RageBarbarian",,,,,,,,,"TRUE","TRUE",7,35,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"RGB_2_EnemySpawn3",,"CARD_DELIVERY_RUNEBERSERKER_2",,,"timeFromLastStepMS() > 1500","RGB_2_Deploy_Card4",,"enemySpawn:GoblinCage:8","skip","hasEnemyTroop(GoblinCage)",,,,,,,,,,14,28,,"TRUE","TRUE",,,,,"TRUE",,,,,,,,
"RGB_2_EnemySpawn4",,"CARD_DELIVERY_RUNEBERSERKER_2",,,"timeFromLastStepMS() > 3000","RGB_2_EnemySpawn3",,"enemySpawn:Knight:10","skip","hasEnemyTroop(Knight)",,,,,,,,,,12,13,,"TRUE","TRUE",,,,,"TRUE",,,,,,,,
"RGB_2_StopWave2",,"CARD_DELIVERY_RUNEBERSERKER_2",,,"timeFromLastStepMS() > 15000","RGB_2_EnemySpawn4",,"stopWave:Tutorial_Empty_Wave",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,
