"Name","Trophies","ItemSWF","ItemExportName","Align","OffsetX","OffsetY","Amount","Spell","SpellAlt","Resource","Chest","EmoteIDHigh","EmoteIDLow","RandomSpell","Token","Consumable","SupportCard","SupportCardAlt","RandomSupportCard","MysteryBox","EvoShard","RulerCard"
,850,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_silver_league_4","left",2,-15,2,,,,,,,,,,,,,,,"Ruler_MergeMaiden"
,900,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_silver_league_1","right",-2,-15,50,"Archer",,,,,,,,,,,,,,
,950,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_silver_league_2","left",2,-15,1,"Prince",,,,,,,,,,,,,,
,1075,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_silver_league_2","left",2,-15,50,"Bomber",,,,,,,,,,,,,,
,1150,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_silver_league_3","right",-2,-15,1,"GiantSkeleton",,,,,,,,,,,,,,
,1225,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_silver_league_4","left",2,-15,2,,,,,,,,,,,,,,,"Ruler_MergeMaiden"
,1300,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_silver_league_1","right",-2,-15,10,"Valkyrie",,,,,,,,,,,,,,
,1375,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_silver_league_2","left",2,-15,50,"Barbarians",,,,,,,,,,,,,,
,1475,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_silver_league_4","left",2,-15,1,"AxeMan",,,,,,,,,,,,,,
,1550,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_silver_league_3","right",-2,-15,3,,,,,,,,,,,,,,,"Ruler_King"
,1625,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_silver_league_2","left",2,-15,50,"SpearGoblins",,,,,,,,,,,,,,
,1700,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_silver_league_1","right",-2,-15,3,,,,,,,,,,,,,,,"Ruler_King"
,1775,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_silver_league_4","left",2,-15,50,"Goblins",,,,,,,,,,,,,,
,1900,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_gold_league_1","right",-2,-15,1,"Pekka",,,,,,,,,,,,,,
,2000,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_gold_league_2","left",2,-15,3,,,,,,,,,,,,,,,"Ruler_MergeMaiden"
,2100,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_gold_league_3","right",-2,-15,1,"Prince",,,,,,,,,,,,,,
,2200,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_gold_league_4","left",2,-15,3,,,,,,,,,,,,,,,"Ruler_MergeMaiden"
,2400,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_gold_league_1","right",-2,-15,1,"Princess",,,,,,,,,,,,,,
,2500,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_gold_league_2","left",2,-15,4,,,,,,,,,,,,,,,"Ruler_King"
,2600,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_gold_league_3","right",-2,-15,1,"MegaKnight",,,,,,,,,,,,,,
,2700,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_gold_league_4","left",2,-15,4,,,,,,,,,,,,,,,"Ruler_MergeMaiden"
,2900,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_gold_league_1","right",-2,-15,1,"Ghost",,,,,,,,,,,,,,
,3000,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_gold_league_2","left",2,-15,4,,,,,,,,,,,,,,,"Ruler_King"
,3100,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_gold_league_3","right",-2,-15,1,"Assassin",,,,,,,,,,,,,,
,3200,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_gold_league_4","left",2,-15,4,,,,,,,,,,,,,,,"Ruler_MergeMaiden"
,3300,"sc/ui_trophy_road_milestones_autochess.sc","tr_autochess_gold_league_1","right",-2,-15,1,"GoblinMachine",,,,,,,,,,,,,,
