"Name","TID","SubtitleTID","Arena","League","LeagueArenaSWF","LeagueArenaExportName","ChestArena","TvArena","IsInUse","TrainingCamp","PVEArena","LoseTrophyPercentage","LoseTrophyScore","WinTrophyPercentage","WinTrophyScore","TrophyLimit","DemoteTrophyLimit","ChestRewardMultiplier","ShopChestRewardMultiplier","RequestSize","MaxDonationCountCommon","MaxDonationCountRare","MaxDonationCountEpic","IconSWF","IconExportName","SmallIconExportName","MatchmakingMinTrophyDelta","MatchmakingMaxTrophyDelta","MatchmakingMaxSeconds","PvpLocation","TeamVsTeamLocation","ThreeVsThreeLocation","DailyDonationCapacityLimit","BattleRewardGold","ReleaseDate","DisableIn2v2","ReachedBoost","BoostTimeH","BgGlow","Glow","Water","WaterParamMapPostfix","BackgroundSWF","BackgroundExportName","BackgroundOverlayExportName","FixedTowerSkinSet","MinScale","LeagueBadgeOffsetY","ChestWildcardsEnabled","ChestWildcardPercent100Common","ChestWildcardPercent100Rare","ChestWildcardPercent100Epic","ChestWildcardPercent100Legendary","ChestWildcardPercent100Champion","RequiredKingLevel","TrophyRoad","CardMaxLevel"
"Arena9_Season","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_09",,40,200,60,"PvP_jungle","TeamVsTeam_jungle",,360,0,,,,,"TRUE",,,,"sc/flood_water.sc","UI_menu_background_goblin_party",,,88,10,"TRUE",500,500,500,500,,,,
"Arena13","TID_ARENA_HEIST","TID_INFO_ARENA_HEIST",13,,,,"Arena13","Arena13","TRUE",,,100,4200,,,4200,4200,470,100,40,8,1,1,"sc/ui_arena_icon_season_10.sc","arena_heist_season",,40,100,60,"PvP_heist_arena","TeamVsTeam_heist_arena",,360,0,,,,,"TRUE","TRUE",,,,,,,90,-40,"TRUE",500,500,500,500,,20,"Default",
,,,,,,,,,,,,100,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena14","TID_ARENA_LUNAR","TID_INFO_ARENA_LUNAR",14,,,,"Arena14","Arena14","TRUE",,,100,4600,,,4600,4600,500,100,40,8,1,1,"sc/ui_arena.sc","arena_lunar_season",,40,100,60,"PvP_lunar_arena","TeamVsTeam_lunar_arena",,360,0,,,,,"TRUE","TRUE",,,,,,,90,-40,"TRUE",500,500,500,500,,22,"Default",
,,,,,,,,,,,,100,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_Executioner","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_executioner_kitchen.sc","arena_executioner_kitchen",,40,200,60,"PvP_executioner_kitchen","TeamVsTeam_executioner_kitchen",,360,0,,,"ChestSpeedUp",24,"FALSE","FALSE",,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena7_Season","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_07",,40,200,60,"PvP_royal","TeamVsTeam_royal",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,75,-40,"TRUE",500,500,500,500,,,,
"Arena_Miner","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_miner.sc","arena_miner",,40,200,60,"PvP_miner_arena","TeamVsTeam_miner_arena",,360,0,,,"ChestSpeedUp",24,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_miner",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena5_Season","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_05",,40,200,60,"PvP_spell","TeamVsTeam_spell",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,80,-40,"TRUE",500,500,500,500,,,,
"Arena2_Season","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_02",,40,200,60,"PvP_bone","TeamVsTeam_bone",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,75,-40,"TRUE",500,500,500,500,,,,
"Arena_Pancakes","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_pancakes.sc","arena_pancakes",,40,200,60,"PvP_pancakes_arena","TeamVsTeam_pancakes_arena",,360,0,,,"ChestSpeedUp",24,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_pancakes",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_ClashPast","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_clash_past.sc","arena_clash_past",,40,200,60,"PvP_clash_past_arena","TeamVsTeam_clash_past_arena",,360,0,,,"ChestSpeedUp",24,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_clash_past",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_ClashFest","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_clash_fest.sc","arena_clashfest",,40,200,60,"PvP_clash_fest_arena","TeamVsTeam_clash_fest_arena",,360,0,,,"ChestSpeedUp",24,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_clash_fest",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_T_Season","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_spooky",,40,200,60,"PvP_spooky","TeamVsTeam_spooky",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,,,,,95,-40,"TRUE",500,500,500,500,,,,
"Arena_Monk","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_monk.sc","arena_monk",,40,200,60,"PvP_monk_arena","TeamVsTeam_monk_arena",,360,0,,,"ChestSpeedUp",24,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_clash_fest",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_XMas2022","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_xmas2022.sc","arena_xmas2022",,40,200,60,"PvP_XMas2022_arena","TeamVsTeam_XMas2022_arena",,360,0,,,"ChestSpeedUp",24,"FALSE",,,,"sc/flood_water.sc","UI_menu_background_holiday","UI_menu_background_holiday_snow",,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Ranked","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_ranked.sc","arena_ranked",,40,200,60,"PvP_ranked_arena","TeamVsTeam_ranked_arena",,360,0,,,"ChestSpeedUp",24,"FALSE",,,,"sc/flood_water.sc","UI_menu_background_holiday","UI_menu_background_holiday_snow",,90,-40,"TRUE",500,500,500,500,,,,
"Arena_BootCamp","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_bootcamp.sc","arena_bootcamp",,40,200,60,"PvP_bootcamp_arena","TeamVsTeam_bootcamp_arena",,360,0,,,"ChestSpeedUp",24,"FALSE",,,,"sc/flood_water.sc","UI_menu_background_holiday","UI_menu_background_holiday_snow",,90,-40,"TRUE",500,500,500,500,,,,
"Arena_BattleGround","TID_INFO_ARENA_BATTLEGROUND","TID_INFO_ARENA_BATTLEGROUND",0,,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,100,100,40,8,1,1,"sc/ui_arena.sc","arena_07",,40,200,60,"PvP_BattleGround","TeamVsTeam_BattleGround",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,,,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_L_Season","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_legendary",,40,200,60,"PvP_legendary","TeamVsTeam_legendary",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,75,-40,"TRUE",500,500,500,500,,,,
"Arena_RockEvolution","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_rock_evolution.sc","arena_rock_evolution",,40,200,60,"PvP_rock_evolution_arena","TeamVsTeam_rock_evolution_arena",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,75,-40,"TRUE",500,500,500,500,,,,
"Arena_RockEvolution_stage","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_dark_elixir.sc","arena_rock_evolution",,40,200,60,"PvP_rock_evolution_arena_stage","TeamVsTeam_rock_evolution_arena_stage",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,75,-40,"TRUE",500,500,500,500,,,,
"Arena_DarkElixir","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_dark_elixir.sc","arena_dark_elixir",,40,200,60,"PvP_dark_elixir_arena","TeamVsTeam_dark_elixir_arena",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,75,-40,"TRUE",500,500,500,500,,,,
"Arena_ChessBoard","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_chess.sc","arena_chess",,40,200,60,"PvP_chess_arena","TeamVsTeam_royal",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,75,-40,"TRUE",500,500,500,500,,,,
"Arena_ChessSeason","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_chess.sc","arena_chess",,40,200,60,"PvP_season_chess","TeamVsTeam_season_chess",,360,0,,,"ChestSpeedUp",24,"FALSE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Clashoween_Tombstone","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_clash_o_ween.sc","arena_clash_o_ween",,40,200,60,"PvP_Clashoween_Tombstone",,,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc","UI_menu_background_halloween","UI_menu_background_halloween_mist",,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Clashoween","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_clash_o_ween.sc","arena_clash_o_ween",,40,200,60,"PvP_Clashoween","TeamVsTeam_Clashoween",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc","UI_menu_background_halloween","UI_menu_background_halloween_mist",,90,-40,"TRUE",500,500,500,500,,,,
"Arena_LittlePrince_ElixirBarrel","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_littleprince.sc","arena_littleprince",,40,200,60,"PvP_littleprince_ElixirBarrel",,,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_LittlePrince","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_littleprince.sc","arena_littleprince",,40,200,60,"PvP_littleprince_arena","TeamVsTeam_littleprince_arena",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_XMas2022_Freeze","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_xmas2022.sc","arena_xmas2022",,40,200,60,"PvP_XMas2022_arena_freeze","TeamVsTeam_XMas2022_arena_freeze",,360,0,,,"ChestSpeedUp",24,"FALSE",,,,"sc/flood_water.sc","UI_menu_background_holiday","UI_menu_background_holiday_snow",,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Valhalla","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_valhala.sc","arena_valhalla_icon",,40,200,60,"PvP_valhalla_arena","TeamVsTeam_valhalla_arena",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Valentines2024_LoveBuff","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_explosivevalentine.sc","arena_explosivevalentine_icon",,40,200,60,"PvP_valentines2024_lovebuff_arena","TeamVsTeam_valentines2024_lovebuff_arena",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Valentines2024","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_explosivevalentine.sc","arena_explosivevalentine_icon",,40,200,60,"PvP_valentines2024_arena","TeamVsTeam_valentines2024_arena",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Electric2_March","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_electricbirthday_season",,40,200,60,"PvP_electricbirthday","TeamVsTeam_electricbirthday",,360,0,,,"ChestSpeedUp",24,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_shocktober",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Electric2_March_GlobalLightning","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_electricbirthday_season",,40,200,60,"PvP_electricbirthday_GlobalLightning","TeamVsTeam_electricbirthday_GlobalLightning",,360,0,,,"ChestSpeedUp",24,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_shocktober",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_MagicMay","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_magicmay.sc","arena_magicmay_icon",,40,200,60,"PvP_magicmay","TeamVsTeam_magicmay",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_ElixirBarrel_GoblinScrapyard","TID_GOBLIN_ARENA_3","TID_INFO_GOBLIN_ARENA_3",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_goblinTR_scrappyard.sc","arena_scrappyard",,40,200,60,"PvP_globinTR_scrappyard_ElixirBarrel","TeamVsTeam_globinTR_scrappyard_ElixirBarrel",,360,0,,,"ChestSpeedUp",24,"TRUE","TRUE",,,,,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Season_GoblinScrapyard","TID_GOBLIN_ARENA_3","TID_INFO_GOBLIN_ARENA_3",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_goblinTR_scrappyard.sc","arena_scrappyard",,40,200,60,"PvP_globinTR_scrappyard","TeamVsTeam_globinTR_scrappyard",,360,0,,,"ChestSpeedUp",24,"TRUE","TRUE",,,,,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_ChillBeach","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_goblinTR_chillbeach.sc","arena_goblinTR_chillbeach_icon",,40,200,60,"PvP_goblinTR_chillbeach","TeamVsTeam_goblinTR_chillbeach",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_ChillBeach_NoRiver","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_goblinTR_chillbeach.sc","arena_goblinTR_chillbeach_icon",,40,200,60,"PvP_goblinTR_chillbeach_NoRiver","TeamVsTeam_goblinTR_chillbeach_NoRiver",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_UltimateClash","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_ultimateclash.sc","arena_ultimateclash_icon",,40,200,60,"PvP_ultimateClash","TeamVsTeam_ultimateClash",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_UltimateClash_PoL","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_ultimateclash_PoL.sc","arena_ultimateclash_icon_pol",,40,200,60,"PvP_ultimateClash","TeamVsTeam_ultimateClash",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Prototype","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_00",,0,100,60,"PvP_prototype_arena","TeamVsTeam_royal",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"202410_Arena_Spooky_Chess","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_chess.sc","arena_chess",,40,200,60,"202410_PvP_spooky_chess_arena","TeamVsTeam_royal",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,75,-40,"TRUE",500,500,500,500,,,,
"Arena_FrankHalloween","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_frankhalloween.sc","arena_frankhalloween_icon",,40,200,60,"PvP_frankhalloween","TeamVsTeam_frankhalloween",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_WildWest","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_wildwest.sc","arena_wildwest_icon",,40,200,60,"PvP_wildwest","TeamVsTeam_wildwest",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_CosyChristmas","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_cosychristmas.sc","arena_cosychristmas_icon",,40,200,60,"PvP_cosychristmas","TeamVsTeam_cosychristmas",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_CosyChristmas_Table","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_cosychristmas.sc","arena_cosychristmas_icon",,40,200,60,"PvP_cosychristmas_table","TeamVsTeam_cosychristmas_table",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_CosyChristmas_PoL","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_cosychristmas.sc","arena_cosychristmas_pol_icon",,40,200,60,"PvP_cosychristmas","TeamVsTeam_cosychristmas",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_2v2Chess","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_2v2chess.sc","arena_chess",,40,200,60,"TeamVsTeam_2v2_chess","TeamVsTeam_2v2_chess",,360,0,,,"ChestSpeedUp",24,"FALSE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_RuneGiant","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_runegiant.sc","arena_runegiant",,40,200,60,"PVP_runegiant","TeamVsTeam_runegiant",,360,0,,,"ChestSpeedUp",24,"FALSE","FALSE",,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_RuneGiant_PoL","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_runegiant.sc","arena_runegiant_pol",,40,200,60,"PVP_runegiant","TeamVsTeam_runegiant",,360,0,,,"ChestSpeedUp",24,"FALSE","FALSE",,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_LumberLove","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_lumberlove.sc","arena_lumberlove_icon",,0,100,60,"PVP_lumberlove","TeamVsTeam_lumberlove",,360,0,,,"ChestSpeedUp",24,"TRUE",,,,"sc/flood_water.sc",,,,90,-40,"TRUE",500,500,500,500,,,,
