"Name","IconSWF","IconFile","HighresPlaceholderAsset","HighresImageFilename","UnlockArena","UnlockLevel","Rarity","NotVisible","Tribe","ManaCost","PrestigeCount","ManaCostFromSummonerMana","NotInUse","Mirror","CustomDeployTime","IsAGroup","SummonCharacter","SummonNumber","SummonCharacterLevelIndex","SummonCharacterSecond","SummonCharacterSecondCount","SummonRadius","SummonWidth","SummonDeployDelay","SummonDeployDelaySecond","CharacterSkin","CharacterSkin2","Radius","Height","Projectile","ProjectileInterval","ProjectileAngle","ProjectileWaves","ProjectileWaveInterval","SpellAsDeploy","CanPlaceOnBuildings","CanPlaceOnWater","InstantDamage","DurationSeconds","InstantHeal","HealPerSecond","Effect","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CanDeployOnEnemySide","TouchdownLimitedDeploy","CastSound","AreaEffectObject","TID","TID_INFO","IndicatorFileName","IndicatorEffect","IndicatorPrestigeSWF","IndicatorPrestigeExportName","IndicatorPrestigeExportName2","IndicatorPrestigeExportName3","HideRadiusIndicator","DestIndicatorEffect","ReleaseDate","ElixirProductionStopTime","DarkMirror","StatsUnderInfo","HeroAbility","PassiveAbility","HPModifier","DamageModifier","DeployWTileMargin","FullLaneDeploy","AbilityCooldown","DeployStartY","DeployEndY","PveDefenseType","TypeOfSpell","EvolvedSpells","DarkElixirCost","TargetIndicatorType","EvoShardImageScale","EvoShardImageXOffset","EvoShardImageYOffset"
"SkeletonBalloon_EV1","sc/ui_card_skeleton_balloon_evolution.sc","skeleton_balloon_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/skeleton_balloon_evolution.png","Arena_L10",,"Common",,,3,3,,,,,,"SkeletonBalloon_EV1",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_SKELETON_BALLOON","TID_SPELL_INFO_EVO_SKELETON_BALLOON",,,,,,,,,,,,,,,,,,,,,,"Defender",,,2,,1,,
"DartBarrell_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Wallbreakers_EV1",,"wall_breaker_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/wall_breaker_evolution_dl.png","Arena_T",,"Epic",,,2,3,,,,,,"Wallbreaker_EV1",2,,,,750,,100,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_WALLBREAKERS","TID_SPELL_INFO_EVO_WALLBREAKERS",,,,,,,,,,,,,,,,,,,,,,"Attacker",,,2,,1,,
"RoyalHogs_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"GoblinGiant_EV1",,"goblin_giant_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/goblin_giant_evolution_dl.png","Arena_L10",,"Epic",,,6,3,,,,,,"GoblinGiant_EV1",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_GOBLIN_GIANT","TID_SPELL_INFO_EVO_GOBLIN_GIANT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Fisherman_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"EliteArcher_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"ElectroDragon_EV1",,"Electro_Dragon_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/electro_dragon_evolution_dl.png","Arena_T",,"Epic",,,5,1,,,,,,"electro_dragon_ev1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_ELECTRO_DRAGON","TID_SPELL_INFO_EVO_ELECTRO_DRAGON",,,,,,,,,,,,,,,,,,,,,,"Range",,,1,,1,,
"Firecracker_EV1",,"firecracker_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/firecracker_evolution_dl.png","Arena_T",,"Common",,,3,1,,,,,,"Firecracker_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_FIRECRACKER","TID_SPELL_INFO_EVO_FIRECRACKER",,,,,,,,,,,,,,,,,,,,,,"Range",,,2,,1,,
"MightyMiner_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"ElixirGolem_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"BattleHealer_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"SkeletonKing_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"ArcherQueen_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"GoldenKnight_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Monk_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"SkeletonDragons_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"WitchMother_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"ElectroSpirit_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,1,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"ElectroGiant_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,7,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Phoenix_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Fireball_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Arrows_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Rage_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,2,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Rocket_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,6,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"GoblinBarrel_EV1",,"goblin_barrel_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/goblin_barrel_evolution_dl.png","Arena6",,"Epic",,,3,3,,,,,,,,,,,,,,,,,,,"GoblinBarrelSpell_EV1",,,,,,"TRUE",,,,,,"goblin_barrel_spawn",,,,,,,,,,"true","TRUE","TRUE","sound_goblin_barrel_spawn",,"TID_SPELL_GOBLIN_BARREL","TID_SPELL_INFO_EVO_GOBLIN_BARREL",,,,,,,,,,,,,,,,,,,,,,"Attacker",,,2,,1,,
"Freeze_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Mirror_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,1,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Lightning_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,6,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Zap_EV1",,"zap_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/zap_evolution_dl.png","Arena5",,"Common",,,2,1,,,,,,,,,,,,,,,,,2500,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true","TRUE",,"SpellCasting","Zap_EV1","TID_SPELL_ZAP","TID_SPELL_INFO_EVO_ZAP",,,,,,,,,,,,,,,,,,,,,,"Spell",,,2,,1,,
"Poison_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Graveyard_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Log_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,2,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Tornado_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Clone_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Earthquake_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"BarbLog_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,2,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Heal_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,1,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Snowball_EV1",,"snowball_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/snowball_evolution_dl.png","Arena8",,"Common",,,2,1,,,,,,,,,,,,,,,,,,,"SnowballSpell_EV1",,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE","TRUE",,"sound_snowball_deploy",,"TID_SPELL_SNOWBALL","TID_SPELL_INFO_EVO_SNOWBALL","sc/spell_snowball_evolution.sc","evo_snowball_deploy_indicator",,,,,"TRUE",,,,,,,,,,,,,,,"Spell",,,2,,1,,
"RoyalDelivery_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Cannon_EV1",,"cannon_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/cannon_evolution_dl.png","Arena3",,"Common",,,3,3,,,,,,"Cannon_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_CANNON","TID_SPELL_INFO_EVO_CANNON",,,,,,,,,,,,,,,,,,,,,,"Defender",,,2,"Cannon",1,,
"GoblinHut_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Mortar_EV1",,"mortar_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/mortar_evolution_dl.png","Arena6",,"Common",,,4,2,,,,,,"Mortar_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_MORTAR","TID_SPELL_INFO_EVO_MORTAR",,,,,,,,,,,,,,,,,,,,,,"Defender",,,2,,1,,
"InfernoTower_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"BombTower_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"BarbarianHut_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,6,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Tesla_EV1",,"tesla_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/tesla_evolution_dl.png","Arena_L",,"Common",,,4,2,,,,,,"Tesla_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_TESLA","TID_SPELL_INFO_EVO_TESLA",,,,,,,,,,,,,,,,,,,,,,"Defender",,,2,,1,,
"Elixir Collector_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,6,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Xbow_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,6,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Tombstone_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"FirespiritHut_EV1","sc/ui_card_furnace_evolution.sc","furnace_evolution_card_image","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/furnace_evolution.png","Arena_L10",,"Rare",,,4,1,,,,,,"Furnace_EV1",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_FIRE_SPIRIT_HUT","TID_SPELL_INFO_EVO_FIRE_SPIRIT_HUT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,2,,1,,
"GoblinCage_EV1",,"goblin_cage_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/goblin_cage_evolution_dl.png","Arena_L10",,"Rare",,,4,3,,,,,,"GoblinCage_EV1_TEMPNAME",1,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_GOBLINCAGE","TID_SPELL_INFO_EVO_GOBLINCAGE",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"GoblinDrill_EV1",,"goblin_drill_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/goblin_drill_evolution_dl.png","Arena14",,"Epic",,,4,1,,,,,,"GoblinDrill_EV1_Dig",,,,,,,,,,,,,,,,,,"TRUE",,,,,,,"CharacterDeploy",,,,,,,,,,,"TRUE","TRUE","SpellCasting",,"TID_SPELL_GOBLIN_DRILL","TID_SPELL_INFO_EVO_GOBLIN_DRILL",,,,,,,,,,,,,,,,,,,,,,"Attacker","Building",,2,"GoblinDrill",1,,
