"Name","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI"
"TID_BADGE_NAME_LADDER_TOP_9","9 Top Ranked Finishes","Classement final dans le top 9","9 Spitzen-Ranglisten-Platzierungen","9 veces en el top de la temporada de clasificación","Nove volte tra i primi 1000 nella modalità Classificata","9x topdivisie bereikt","9 gode rangerte plasseringer","9 Yüksek Sıralama","シーズンで9回の上位入賞","경쟁전 시즌 상위권 마무리 9회","9 финишей в топе рейтингового режима","ترتيب في أفضل 9 مراكز مصنفة","9x no Top 1000 ranqueado","9次名列前茅","9次天梯賽季名列前茅","9 بار قرار گرفتن جزو نفرات برتر","Mencapai 1000 besar di 9 Mode Peringkat","9 tempat teratas dalam Mod Peringkat","จบในอันดับท็อป 9 ครั้ง","9 kautta kärkisijoituksella","9 lần lọt vào top 1.000 trong Mùa giải Xếp hạng"
"TID_BADGE_NAME_LADDER_TOP_10","10 Top Ranked Finishes","Classement final dans le top 10","10 Spitzen-Ranglisten-Platzierungen","10 veces en el top de la temporada de clasificación","Dieci volte tra i primi 1000 nella modalità Classificata","10x topdivisie bereikt","10 gode rangerte plasseringer","10 Yüksek Sıralama","シーズンで10回の上位入賞","경쟁전 시즌 상위권 마무리 10회","10 финишей в топе рейтингового режима","ترتيب في أفضل 10 مراكز مصنفة","10x no Top 1000 ranqueado","10次名列前茅","10次天梯賽季名列前茅","10 بار قرار گرفتن جزو نفرات برتر","Mencapai 1000 besar di 10 Mode Peringkat","10 tempat teratas dalam Mod Peringkat","จบในอันดับท็อป 10 ครั้ง","10 kautta kärkisijoituksella","10 lần lọt vào top 1.000 trong Mùa giải Xếp hạng"
"TID_RANKED_TIMER_POPOVER_INFO","Progress in Ranked to earn rewards before the season ends!","Progressez en Classé pour gagner des récompenses avant la fin de la saison !","Steige in der Rangliste auf, um Belohnungen zu verdienen, bevor die Saison endet!","Progresa en el modo competitivo para obtener recompensas antes de que termine la temporada.","Avanza nella modalità Classificata e guadagna le ricompense prima che finisca la stagione!","Maak voortgang in de divisiemodus om beloningen te ontgrendelen voordat het seizoen afloopt!","Ta deg videre i Rangert for å tjene belønninger før sesongen er over!","Ödül kazanmak için sezon bitmeden aşamalı modda oyna!","ランク戦を勝ち進み、シーズン終了までに報酬を獲得しましょう！","경쟁전을 진행하여 시즌이 끝나기 전에 보상을 얻으세요!","Продвигайся в рейтинговом режиме, чтобы зарабатывать награды до конца сезона!","تقدم في دوري المصنف لربح جوائز قبل انتهاء الموسم.","Avance no modo ranqueado para ganhar recompensas antes que a temporada termine!","在赛季结束前，攀登天梯、赢取奖励！","在賽季結束前，攀登天梯、贏取獎勵！","تو حالت «رتبه‌بندی‌شده» پیشرفت کن تا جوایز رو قبل پایان فصل بگیری!","Raih progres di mode Peringkat untuk meraih hadiah sebelum musim berakhir!","Maju di mod Berperingkat untuk meraih ganjaran sebelum musim tamat!","คืบหน้าในโหมดจัดอันดับเพื่อรับรางวัลก่อนฤดูกาลจะสิ้นสุดลง!","Etene sijoitustilassa avataksesi palkintoja ennen kauden päättymistä!","Thăng tiến trong chế độ Xếp hạng để nhận phần thưởng trước khi mùa giải kết thúc!"
"TID_NEXT","Next","Suivant","Weiter","Siguiente","Pross.","Volgende","Neste","İleri","次","다음","Далее","التالي","Ok","继续","繼續","بعدی","Berikutnya","Seterusnya","ถัดไป","Seuraava","Tiếp theo"
"TID_ELITE_LEVEL_INFO_SHOP","They can also be found in Seasonal Arenas, Ranked, and the Shop!","Vous pouvez aussi en trouver dans les arènes saisonnières, en Classé et dans le magasin !","Sie sind auch in Saisonalen Arenen, im Ranglistenmodus und im Shop zu finden!","También encontrarás estos artículos en las arenas de temporada, el modo competitivo y la tienda.","Puoi ottenere questi articoli anche nelle arene stagionali, nella modalità Classificata e dal negozio!","Je kunt ze ook vinden in seizoensarena's, de divisiemodus en de winkel!","De er også å finne i sesongarenaer, Rangert og i butikken!","Ayrıca sezon arenaları, aşamalı mod ve dükkandan da alınabilirler!","エリートワイルドカードはランク戦やショップ\nシーズンアリーナからも入手可能です！","시즌 아레나, 경쟁전, 상점에서도 찾을 수 있습니다.","Их также можно найти на сезонных аренах, в рейтинговом режиме и магазине!","يمكن العثور عليها أيضًا في الساحات الموسمية والمصنف والمتجر.","Também é possível encontrar nas arenas sazonais, na loja e no modo ranqueado!","还可以在赛季竞技场、天梯和商店中找到！","還可以在賽季競技場、天梯和商店中找到！","اونا رو می‌شه توی میدان‌های نبرد فصلی، حالت «رتبه‌بندی‌شده» و فروشگاه هم پیدا کرد!","Bisa ditemukan juga di Arena Musiman, mode Peringkat, dan Toko!","Ini boleh juga ditemukan di Arena Bermusim, mod Berperingkat dan kedai!","ยังสามารถหาได้ในสนามประลองประจำฤดูกาล โหมดจัดอันดับ และร้านค้า!","Niitä on tarjolla myös kausittaisilla areenoilla, sijoitusotteluissa sekä kaupassa!","Bạn cũng có thể tìm thấy chúng trong các Đấu trường theo mùa, chế độ Xếp hạng và Cửa hàng!"
"TID_VALKEVO_TORNADO_DURATION","Tornado Duration","Durée de la tornade","Tornadodauer","Duración del tornado","Durata del tornado","Duur tornado","Tornadovarighet","Kasırga Süresi","トルネードの効果時間","토네이도 지속 시간","Длительность торнадо","مدة الإعصار","Duração do tornado","飓风持续时间","旋風持續時間","مدت گردباد","Durasi Tornado","Tempoh Tornado","ระยะเวลาทอร์นาโด","Tornadon kesto","Thời lượng lốc xoáy"
"TID_VALKEVO_TORNADO_RADIUS","Tornado Radius","Rayon de la tornade","Tornadoradius","Radio del tornado","Raggio del tornado","Omtrek tornado","Tornadoradius","Kasırga Alanı","トルネードの範囲","토네이도 반경","Радиус торнадо","نطاق الإعصار","Alcance do tornado","飓风范围","旋風範圍","شعاع گردباد","Radius Tornado","Radius Tornado","รัศมีทอร์นาโด","Tornadon vaikutusalue","Phạm vi lốc xoáy"
"TID_TESLAPULSE_RADIUS","Pulse Radius","Rayon des ondes","Impulsradius","Radio de las ondas","Raggio dell'impulso","Omtrek puls","Pulsradius","Işın Alanı","パルスの範囲","펄스 반경","Радиус импульса","مدى النبضة","Raio do pulso","脉冲范围","脈衝範圍","شعاع پالس","Radius Gelombang","Radius Gelombang","รัศมีแรงสั่น","Paineaallon vaikutusalue","Phạm vi giật điện"
"TID_KNIFE_RECHARGE_TIME","Dagger Charge","Charge de dagues","Dolchaufladung","Recarga por daga","Caricam. lancio pugnali","Oplaadtijd dolk","Dolkangrep","Hançer Yenilenme Süresi","ダガーのチャージ時間","단검 충전 시간","Время заряда","شحن الخناجر","Recarga de adaga","飞刀充能","飛刀蓄能","حمله خنجر","Isi Daya Belati","Cas Pisau Belati","ชาร์จมีด","Tikarin lataus","Thời gian nạp dao găm"
"TID_SPELL_DARK_MAGIC","Void","Néant","Leere","Vacío","Nihil","Vacuüm","Tomrom","Boşluk","ボイド","공허 마법","Бездна","العدم","Vácuo","虚空法术","虛空法術","خلأ","Hampa","Ruang","มิติมืด","Tyhjiö","Vùng hư không"
"TID_DAMAGE_WITH_MIN_MAX_TARGETS","<MIN_TARGETS> – <MAX_TARGETS> Targets","<MIN_TARGETS> – <MAX_TARGETS> cibles","<MIN_TARGETS>–<MAX_TARGETS> Ziele","De <MIN_TARGETS> a <MAX_TARGETS> objetivos","Da <MIN_TARGETS> a <MAX_TARGETS> obiettivi","<MIN_TARGETS> – <MAX_TARGETS> doelwitten","<MIN_TARGETS>–<MAX_TARGETS> mål","<MIN_TARGETS> – <MAX_TARGETS> Hedef","ターゲット<MIN_TARGETS>体～<MAX_TARGETS>体","공격 대상 <MIN_TARGETS>~<MAX_TARGETS>개","От <MIN_TARGETS> до <MAX_TARGETS> целей","<MIN_TARGETS> – <MAX_TARGETS> من الأهداف","<MIN_TARGETS> a <MAX_TARGETS> alvos","<MIN_TARGETS> - <MAX_TARGETS>个目标","<MIN_TARGETS>至<MAX_TARGETS>個目標","<MIN_TARGETS> – <MAX_TARGETS> هدف","<MIN_TARGETS>–<MAX_TARGETS> Target","<MIN_TARGETS> – <MAX_TARGETS> sasaran","เป้าหมาย <MIN_TARGETS> – <MAX_TARGETS>","<MIN_TARGETS>–<MAX_TARGETS> kohdetta","<MIN_TARGETS> - <MAX_TARGETS> mục tiêu"
"TID_DAMAGE_WITH_SINGLE_TARGET","Damage: 1 Target","Dégâts : 1 cible","Schaden: 1 Ziel","Daño: 1 objetivo","Danni a un obiettivo","Schade: 1 doelwit","Skade: 1 mål","Hasar: 1 Hedef","ダメージ：ターゲット1体","피해량: 공격 대상 1개","Урон по 1 цели","الضرر: هدف واحد","Dano: 1 alvo","伤害：1个目标","傷害：1個目標","آسیب: 1 هدف","Kerusakan: 1 Target","Kerosakan: 1 sasaran","ความเสียหาย: 1 เป้าหมาย","Tuhovoima: 1 kohde","Sát thương: 1 mục tiêu"
"TID_DAMAGE_WITH_MIN_OR_MORE_TARGETS","<MIN_TARGETS>+ Targets","<MIN_TARGETS>+ cibles","<MIN_TARGETS>+ Ziele","<MIN_TARGETS> o más objetivos","<MIN_TARGETS> obiettivi o più","<MIN_TARGETS>+ doelwitten","<MIN_TARGETS>+ mål","<MIN_TARGETS>+ Hedef","ターゲット<MIN_TARGETS>体以上","공격 대상 <MIN_TARGETS>개 이상","<MIN_TARGETS> и больше целей","فوق <MIN_TARGETS> من الأهداف","<MIN_TARGETS> ou mais alvos","<MIN_TARGETS>+个目标","<MIN_TARGETS>+個目標","<MIN_TARGETS>+ هدف","<MIN_TARGETS>+ Target","<MIN_TARGETS>+ sasaran","เป้าหมาย <MIN_TARGETS>+","<MIN_TARGETS>+ kohdetta","Từ <MIN_TARGETS> mục tiêu trở lên"
"TID_CROWN_DAMAGE_WITH_MIN_MAX_TARGETS","<MIN_TARGETS> – <MAX_TARGETS> Targets","<MIN_TARGETS> – <MAX_TARGETS> cibles","<MIN_TARGETS>–<MAX_TARGETS> Ziele","De <MIN_TARGETS> a <MAX_TARGETS> objetivos","Da <MIN_TARGETS> a <MAX_TARGETS> obiettivi","<MIN_TARGETS> – <MAX_TARGETS> doelwitten","<MIN_TARGETS>–<MAX_TARGETS> mål","<MIN_TARGETS> – <MAX_TARGETS> Hedef","ターゲット<MIN_TARGETS>体～<MAX_TARGETS>体","공격 대상 <MIN_TARGETS>~<MAX_TARGETS>개","От <MIN_TARGETS> до <MAX_TARGETS> целей","<MIN_TARGETS> – <MAX_TARGETS> من الأهداف","<MIN_TARGETS> a <MAX_TARGETS> alvos","<MIN_TARGETS> - <MAX_TARGETS>个目标","<MIN_TARGETS>至<MAX_TARGETS>個目標","<MIN_TARGETS> – <MAX_TARGETS> هدف","<MIN_TARGETS>–<MAX_TARGETS> Target","<MIN_TARGETS> – <MAX_TARGETS> sasaran","เป้าหมาย <MIN_TARGETS> – <MAX_TARGETS>","<MIN_TARGETS>–<MAX_TARGETS> kohdetta","<MIN_TARGETS> - <MAX_TARGETS> mục tiêu"
"TID_CROWN_DAMAGE_WITH_SINGLE_TARGET","Crown Tower: 1 Target","Tour couronnée : 1 cible","Kronenturm: 1 Ziel","Torres de coronas: 1 objetivo","Danni a torre corona: un obiettivo","Kroontoren: 1 doelwit","Kronetårn: 1 mål","Taç Kulesi: 1 Hedef","クラウンタワー：ターゲット1体","크라운 타워: 공격 대상 1개","Кор. башня (1 цель)","برج التاج: هدف واحد","Torre da coroa: 1 alvo","皇家塔：1个目标","皇家塔：1個目標","برج تاج: 1 هدف","Benteng Mahkota: 1 Target","Menara Mahkota: 1 sasaran","หอคอยมงกุฎ: 1 เป้าหมาย","Kruunutorni: 1 kohde","Tháp Vương miện: 1 mục tiêu"
"TID_CROWN_DAMAGE_WITH_MIN_OR_MORE_TARGETS","<MIN_TARGETS>+ Targets","<MIN_TARGETS>+ cibles","<MIN_TARGETS>+ Ziele","<MIN_TARGETS> o más objetivos","<MIN_TARGETS> obiettivi o più","<MIN_TARGETS>+ doelwitten","<MIN_TARGETS>+ mål","<MIN_TARGETS>+ Hedef","ターゲット<MIN_TARGETS>体以上","공격 대상 <MIN_TARGETS>개 이상","<MIN_TARGETS> и больше целей","فوق <MIN_TARGETS> من الأهداف","<MIN_TARGETS> ou mais alvos","<MIN_TARGETS>+个目标","<MIN_TARGETS>+個目標","<MIN_TARGETS>+ هدف","<MIN_TARGETS>+ Target","<MIN_TARGETS>+ sasaran","เป้าหมาย <MIN_TARGETS>+","<MIN_TARGETS>+ kohdetta","Từ <MIN_TARGETS> mục tiêu trở lên"
"TID_SPELL_INFO_GOBLIN_CURSE","One does not simply reverse a curse!\n\nEnemies within the curse’s reach will take damage over time and be turned into Goblins after they are defeated.","C'est la double peine !\n\nLes ennemis dans le rayon du sort subissent des dégâts sur la durée et sont transformés en gobelins une fois éliminés.","Ein Fluch lässt sich nicht einfach rückgängig machen!\n\nIm Wirkbereich des Fluchs erleiden Gegner Schaden über Zeit und sie werden in Kobolde verwandelt, wenn sie besiegt werden.","¡Una maldición es algo muy serio!\n\nLos enemigos que se encuentren dentro del alcance de la maldición recibirán daño a lo largo del tiempo y se convertirán en duendes tras ser derrotados.","Una maledizione per colpirli e nel verde incatenarli.\n\nI nemici nell'area d'effetto della maledizione riceveranno danni nel tempo e si trasformeranno in goblin dopo essere stati sconfitti.","Een vloek opheffen doe je niet zomaar!\n\nVijanden binnen het bereik van de vloek lopen geleidelijk schade op en veranderen in kobolden nadat ze worden verslagen.","Det er ikke bare å omgjøre en forbannelse!\n\nFiender som er innenfor forbannelsens rekkevidde, påføres skade over tid og forvandles til nisser når de blir overvunnet.","Laneti elimizi kolumuzu sallayıp bozamayız!\n\nLanetin menzilindeki düşmanlar zaman içinde hasar alır ve yok edildiklerinde gobline dönüşürler.","恐ろしきゴブリンの禁術！\n\n呪いに足を踏み入れた敵は継続ダメージを受け、撃破されるとゴブリンに変身します。","식당 예약하듯 쉽게 저주를 풀 수는 없어요!\n\n저주 범위에 있는 적에게 지속 피해를 주며, 적이 처치되면 고블린으로 변합니다.","Нельзя просто так взять и снять проклятие!\n\nВраги в области поражения проклятия получают урон со временем и превращаются в гоблинов после уничтожения.","لا يمكن لأحدهم إبطال اللعنة ببساطة هكذا.\n\nيتلقى الأعداء في نطاق اللعنة ضررًا بمرور الوقت، ويتحولون إلى غيلان بعد هزيمتهم.","Desfazer feitiços não é tarefa para qualquer um!\n\nInimigos ao alcance da maldição recebem dano ao longo do tempo e se transformam em Goblins quando são derrotados.","魔咒岂是说解就能解的！\n\n魔咒范围内的敌人会受到持续伤害，被击倒后还会变成哥布林。","詛咒豈是說解就能解的！\n\n詛咒範圍內的敵人會受到持續傷害，被消滅後還會變成哥布林。","کسی به این راحتی نمی‌تونه یه نفرین رو برگردونه!\n\nدشمنانی که در محدوده نفرین قرار بگیرن، به‌مرور زمان آسیب می‌بینن و پس از شکست خوردن، به گابلین تبدیل می‌شن.","Sekali kena kutuk, tak bisa dipatahkan!\n\nLawan dalam radius kutukan akan menerima kerusakan seiring waktu dan berubah menjadi Goblin saat tumbang.","Bukan mudah untuk membalikkan sumpahan!\n\nMusuh dalam jangkauan sumpahan akan menerima kerosakan mengikut masa dan berubah menjadi Goblin selepas ditewaskan.","ไม่ใช่ใครก็ได้ที่สามารถแก้คำสาป!\n\nศัตรูที่อยู่ในระยะคำสาปจะได้รับความเสียหายตามระยะเวลาและกลายร่างเป็นก็อบลินเมื่อพวกเขาพ่ายแพ้","Kirousta ei noin vain kumota!\n\nKirouksen vaikutusalueella olevat viholliset kärsivät tuhoa ajan mittaan ja muuttuvat kaatuessaan hiisiksi.","Việc đảo ngược lời nguyền không hề đơn giản chút nào!\n\nKẻ địch ở trong phạm vi ảnh hưởng của lời nguyền sẽ chịu sát thương theo thời gian và sẽ biến thành Yêu tinh sau khi bi hạ gục."
"TID_SPAWNS_ON_SUBMERGE","Spawn on Submerge","Unités invoquées","Beschworene Einheiten","Unidades generadas","Unità generate alla fuga","Voortbrenging bij bovenkomst","Generering under bakken","Çağrılan Birimler","潜伏時出現","잠복 시 생성","Гоблинов при зарывании","الظهور عند الحفر","Geração ao surgir","钻地召唤","鑽地召喚","تکثیر هنگام مخفی شدن زیر زمین","Pengerahan dalam Tanah","Wujud apabila Muncul","เกิดเมื่อมุดดิน","Ilmestyy kaivautuessa","Thả binh lính khi chui xuống đất"
"TID_KNOCKBACK_STRENGTH","Knockback Range","Distance de recul","Rückstoß-Reichweite","Alcance del empuje","Portata della respinta","Bereik terugslag","Tilbakeslagsavstand","Geri Püskürtme Menzili","ノックバック範囲","넉백 거리","Дальность отбрасывания","مدى الإطاحة للخلف","Alcance do recuo","击退范围","擊退範圍","دامنه عقب‌راندن","Jarak Hantaman","Jarak Penolakan","ระยะกระเด็นถอยหลัง","Työntökantama","Phạm vi đẩy lùi"
"TID_HEAL_PER_DEATH","Heal per Death","Soins par mort","Heilung/besiegtes Ziel","Curación por eliminación","Cure per eliminazione","Genezing per sterfte","Helbredelse per død","Yok Etme Başına İyileşme","撃破時回復","처치당 치유량","Исцеление за уничтожение","الشفاء لكل إطاحة","Cura por abate","每次击倒治疗","每次擊殺治療","شفا در هر مرگ","Penyembuhan Tiap Tumbang","Sembuhan/Singkiran","เยียวยาเมื่อตาย","Parannus päihitystä kohti","Hồi máu mỗi lần tiêu diệt lính"
"TID_KAMIKAZE_TRIGGER_HEALTH","Activation","Activation","Aktivierung","Activación","Attivazione","Activering","Aktivering","Etkinleştir","有効化","활성화","Активация","التفعيل","Ativação","激活","啟用","فعال‌سازی","Aktivasi","Pengaktifan","การเปิดใช้งาน","Aktivointi","Kích hoạt"
"TID_TRAIT_MAGE","Mage","Mage","Magier","Hechicero","Negromante","Magiër","Magiker","Sihirbaz","メイジ","위저드","Маг","مشعوذ","Feiticeiro","法师","法師","ساحر","Ahli Sihir","Ahli Sihir","จอมเวทย์","Taikoja","Ma thuật sư"
"TID_TRAIT_JUGGERNAUT","Juggernaut","Colosse","Juggernaut","Tanque","Colosso","Beuker","Kraftplugg","Cüsseli","タンク","저거너트","Разрушитель","طاغوت","Colosso","坦克","坦克","نیروی تخریبی","Unit Berat","Juggernaut","จอมพลัง","Juggernautti","Kẻ hủy diệt"
"TID_TRAIT_UNDEAD_DES","Combat Start: Enemy with the highest HP is cursed, and your Undead gain 30% bonus Damage when that enemy is defeated","Début : l'ennemi avec le plus de PV est maudit et vos Revenants gagnent 30 % de dégâts bonus quand cet ennemi est vaincu","Zu Kampfbeginn: Der Gegner mit den höchsten TP wird verflucht. Wird er besiegt, erhalten deine Untoten 30 % Bonusschaden.","Al inicio del combate, el enemigo con más PV recibe una maldición y tus muertos vivientes ganan un 30 % de daño extra cuando lo derrotas.","A inizio scontro, il nemico con più punti ferita viene maledetto e i non morti causano il 30% di danni in più dopo che è stato sconfitto.","Begin gevecht: de vijand met de hoogste gezondheid is vervloekt en je ondoden krijgen 30% bonusschade als die vijand verslagen is.","Kampstart: Fienden med høyest HP blir forhekset, og dine vandøde får 30 % ekstra skade når den fienden blir overvunnet","Savaş Başlangıcı: En yüksek İP'ye sahip düşman lanetlenir ve bu düşman yok edildiğinde hortlakların %30 bonus hasar kazanır.","バトル開始時：最もヒットポイントの高い敵に呪いをかけ、その敵を倒すとアンデッドユニットの与ダメージが30％上昇","전투 시작 시: HP가 가장 높은 적이 저주에 걸리고, 해당 적을 처지하면 내 언데드 유닛이 30%의 피해량 보너스를 얻습니다.","В начале сражения проклинает вражеского воина с наибольшим здоровьем. При его уничтожении: +30 % к урону нежити.","بداية الاشتباك: تقع اللعنة على العدو ذي نقاط الإصابة الأعلى، ويكتسب الموتى الأحياء لديك 30% من الضرر الإضافي عند هزيمة ذلك العدو.","Início do combate: o inimigo com maior saúde é amaldiçoado, e seus Mortos-vivos ganham um bônus de 30% de dano quando ele é derrotado.","每轮对战开始时：生命值最高的敌人被诅咒，若受诅咒单位被击倒，你的亡灵单位获得30%增伤。","每輪對戰開始時：生命值最高的敵人被詛咒，若受詛咒單位被擊殺，你的亡靈單位獲得30%額外傷害。","شروع نبرد: دشمنی که بیشترین تحمل ضربه رو داره، طلسم می‌شه و بعد شکست اون دشمن، مرده متحرک شما 30% آسیب اضافی وارد می‌کنه07","Awal Pertempuran: Lawan dengan HP tertinggi akan dikutuk dan Tulang akan mendapatkan 30% Kerusakan ekstra saat lawan tumbang.","Kombat Mula: Musuh dengan nilai nyawa tertinggi akan disihir dan Mayat Hidup anda mendapat 30% kerosakan bonus apabila musuh ditewaskan.","เริ่มต้นการต่อสู้: ศัตรูที่มีพลังชีวิตสูงสุดจะถูกสาป และผีดิบของท่านจะได้รับโบนัสความเสียหายเพิ่ม 30% เมื่อศัตรูพ่ายแพ้","Taistelun alku: korkeimman elinvoiman vihollinen kirotaan. Luurangot tekevät 30 % lisätuhoa, kun tämä vihollinen päihitetään.","Bắt đầu chiến đấu: Kẻ địch có lượng Máu cao nhất sẽ bị nguyền rủa và Xác sống của bạn sẽ được tăng 30% Sát thương khi kẻ địch đó bị hạ gục."
"TID_TRAIT_MAGE_DES","Mages gain bonus Damage every 4s","Les Mages gagnent des dégâts bonus toutes les 4s","Magier erhalten alle 4 Sekunden Bonusschaden.","Los hechiceros ganan daño extra cada 4 segundos.","I danni causati dai negromanti aumentano ogni quattro secondi.","Magiërs krijgen elke 4s bonusschade.","Magikere får bonusskade hvert 4. sekund","Sihirbazlar her 4 saniyede bir bonus hasar kazanır.","メイジユニットの攻撃力が4秒ごとに上昇","위저드가 4초마다 피해량 보너스를 얻습니다.","Маги получают бонус к урону каждые 4 с.","يكتسب المشعوذون ضررًا إضافيًا كل 4 ث.","Os Feiticeiros ganham dano extra a cada 4s.","每过4秒，法师获得增伤。","每過4秒，法師造成額外傷害。","ساحرها هر 4 ثانیه آسیب اضافه می‌گیرن","Ahli Sihir mendapatkan Kerusakan bonus setiap 4d.","Ahli Sihir mendapat kerosakan bonus setiap 4s.","จอมเวทย์ได้รับโบนัสความเสียหายทุกๆ 4 วินาที","Taikojat saavat lisätuhovoimaa neljän sekunnin välein.","Sát thương của Ma thuật sư tăng lên mỗi 4 giây."
"TID_TRAIT_JUGGERNAUT_DES","Combat Start: Juggernauts and Troops behind gain a 12s Shield","Début : les Colosses et les troupes placées derrière gagnent un bouclier de 12s","Zu Kampfbeginn: Juggernauts und Truppen hinter ihnen erhalten 12 Sekunden lang einen Schild.","Al inicio del combate, los tanques y las tropas detrás de estos ganan un escudo durante 12 segundos.","A inizio scontro, i colossi e le truppe dietro a loro ricevono uno scudo di 12 secondi.","Begin gevecht: beukers en de troepen erachter krijgen 12s lang een schild.","Kampstart: Kraftplugger og tropper bak får skjold i 12 sekunder","Savaş Başlangıcı: Cüsseliler ve arkalarındaki birlikler 12 sn süresince kalkan kazanır.","バトル開始時：タンクユニットとその後ろのユニットに12秒間シールドを付与","전투 시작 시: 저거너트와 그 뒤에 있는 유닛이 12초간 실드를 얻습니다.","В начале сражения разрушители и воины позади них получают щит на 12 с.","بداية الاشتباك: يكتسب الطواغيت والقوات في الخلف درعًا مدته 12 ث.","Início do combate: os Colossos e as tropas atrás deles ganham um escudo com duração de 12s.","每轮对战开始时：坦克和坦克后方部队获得持续12秒的护盾。","每輪對戰開始時：坦克和坦克後方部隊獲得持續12秒的護盾。","شروع نبرد: نیروهای تخریبی و نیروهای پشت اون، یه سپر 12 ثانیه‌ای می‌گیرن","Awal Pertempuran: Unit Berat dan Peleton di belakangnya mendapatkan Perisai 12d.","Kombat Mula: Juggernaut dan askar di belakang memperoleh pelindung 12 saat.","เริ่มต้นการต่อสู้: จอมพลังและกองกำลังที่อยู่ด้านหลังจะได้รับโล่ป้องกัน 12 วินาที","Taistelun alku: juggernautit ja niiden takana olevat joukot saavat kaksitoista sekuntia kestävän kilven.","Bắt đầu chiến đấu: Kẻ hủy diệt và các Binh lính phía sau nhận được một Khiên chắn có thời lượng 12 giây."
"TID_TRAIT_L_SQUAD_DES","Avengers gain bonus Damage, with the last Avenger standing gaining double Damage","Les Vengeuses gagnent des dégâts bonus, et la dernière debout gagne le double de dégâts","Rächerinnen erhalten Bonusschaden. Die letzte überlebende Rächerin erhält doppelten Schaden.","Los vengadores ganan daño extra, y el último vengador en pie gana el doble de daño.","Le paladine causano danni bonus e l'ultima di loro rimasta in vita causa il doppio dei danni.","Wrekers brengen bonusschade toe, waarbij de laatste wreker die overblijft dubbele aanvalsschade krijgt.","Hevnere får bonusskade, og den siste hevneren som står igjen, får dobbel skade","İntikamcılar bonus hasar kazanır, sona kalan intikamcının verdiği hasar normalin iki katıdır.","アベンジャーユニットの攻撃力が上昇し、最後の1体になると与ダメージが倍増","어벤저 유닛은 피해량 보너스를 얻고, 마지막으로 남은 어벤저 유닛은 피해량 보너스를 두 배로 얻습니다.","Мстители наносят повышенный урон, а последний выживший мститель — двойной урон.","يكتسب الانتقاميون ضررًا إضافيًا؛ حيث يكتسب الانتقامي الصامد إلى النهاية ضعف الضرر.","As Vingadoras ganham um bônus de dano, e a última sobrevivente ganha o dobro de bônus.","复仇者获得增伤，我方场上最后一个存活的复仇者造成双倍伤害。","復仇者獲得額外傷害，我方場上最後一個存活的復仇者造成雙倍傷害。","انتقام‌جوها آسیب اضافی کسب می‌کنن و اگه فقط یه انتقام‌جو باقی بمونه، دو برابر آسیب کسب می‌کنه","Pembela memperoleh Kerusakan bonus dan Pembela yang terakhir bertahan akan memperoleh Kerusakan 2x lipat.","Pembela mendapat kerosakan bonus dan Pembela terakhir yang kekal akan mendapat kerosakan berganda.","ผู้ล้างแค้นได้รับโบนัสความเสียหาย และผู้ล้างแค้นคนสุดท้ายที่เหลืออยู่จะสร้างความเสียหายเพิ่มอีกสองเท่า","Kostajat aiheuttavat lisätuhoa. Viimeinen jäljellä oleva kostaja aiheuttaa tuplasti tuhoa.","Những Kẻ phục thù sẽ gây ra thêm Sát thương, và Kẻ phục thù còn trụ vững cuối cùng sẽ gây ra Sát thương gấp đôi."
